"Employee ID","Name","Basic Salary","Bonus","Tax","Net Salary"
"1","John Smith","$50,000.00","$5,000.00","$7,500.00","$47,500.00"
"2","Sarah Johnson","$60,000.00","$7,200.00","$10,800.00","$56,400.00"
"3","Mike Davis","$45,000.00","$3,600.00","$5,400.00","$43,200.00"
"4","Emily Wilson","$55,000.00","$8,250.00","$8,800.00","$54,450.00"
"5","David Brown","$70,000.00","$14,000.00","$15,400.00","$68,600.00"
"6","Lisa Anderson","$48,000.00","$4,320.00","$6,720.00","$45,600.00"
"7","Robert Taylor","$65,000.00","$11,700.00","$13,000.00","$63,700.00"
"8","Jennifer Lee","$52,000.00","$5,720.00","$7,800.00","$49,920.00"
"9","Christopher White","$58,000.00","$7,540.00","$9,860.00","$55,680.00"
"10","Amanda Martinez","$47,000.00","$3,290.00","$6,110.00","$44,180.00"
"TOTAL","10 Employees","$550,000.0","$70,620.0","$91,390.0","$529,230.0"
